Ano;NOME;Idade;PEDRA;INDE;IAN;IDA;IEG;IAA;IPS;IPP;IPV;PONTO_VIRADA
2020;ALUNO-95;13.07671233;3;7.336876333;5;6.666666667;8.2;9.58335;7.5;7.96875;6.791665;0
2020;ALUNO-96;14.11506849;2;6.432501;5;3;6.1;9.16668;6.875;7.5;8.791665;1
2020;ALUNO-97;14.63287671;3;7.393752;5;6;8;9.50002;7.5;8.4375;7.75;0
2020;ALUNO-100;14.24383562;2;6.908335;5;7.5;6.5;9.00002;4.375;6.875;7.916665;0
2020;ALUNO-102;12.6739726;3;7.966668667;10;7;8.5;8.00002;7.5;7.5;7.833333333;0
2020;ALUNO-103;12.62465753;4;8.597919;10;8.5;10;9.00002;7.5;7.8125;7.333335;0
2020;ALUNO-105;14.31506849;4;8.516877;10;8;9.6;9.16668;7.5;7.96875;7.66667;0
2020;ALUNO-106;14.03287671;3;8.450002;5;10;10;9.50002;7.5;7.5;7.5;0
2020;ALUNO-111;14.98630137;2;6.8535425;5;4.5;7.7;7.91667;7.5;7.96875;7.8750025;0
2020;ALUNO-112;15.23287671;2;6.448887667;5;5.333333333;6.8;7.91667;4.375;7.708333333;7.611103333;0
2020;ALUNO-113;14.82739726;3;7.693335;5;7.5;8.8;8.50002;7.5;7.5;7.916665;0
2020;ALUNO-115;14.12876712;1;5.331389333;5;5.166666667;1.9;9.16668;6.875;7.916666667;5.111106667;0
2020;ALUNO-117;15.36986301;3;8.032085;5;9.5;8.9;8.00002;7.5;7.1875;7.916665;0
2020;ALUNO-118;13.95890411;3;8.342085;10;10;7.7;8.50002;7.5;7.1875;7.416665;0
2020;ALUNO-120;14.87123288;3;7.895835;5;9.5;10;9.00002;8.125;2.5;7.666665;0
2020;ALUNO-125;13.42465753;2;7.187502;5;5;9;9.00002;7.5;7.708333333;7.333333333;0
2020;ALUNO-128;15.29315068;1;5.854169;5;5.5;10;7.41668;5.625;2.5;3.500005;0
2020;ALUNO-132;12.51232877;3;7.344792;10;6;6.5;8.75001;7.5;8.28125;6.95833;0
2020;ALUNO-133;15.36438356;3;8.428752;5;10;9.8;10.00002;7.5;7.1875;7.5;0
2020;ALUNO-135;13.76164384;3;7.798752;10;6.5;8.4;9.00002;7.5;7.1875;7.25;0
2020;ALUNO-136;13.83287671;1;4.643056;5;2;4;7.5;4.375;6.666666667;5.444446667;0
2020;ALUNO-139;12.14246575;2;6.105834;5;4.333333333;5.8;9.16668;7.5;8.125;5.499996667;0
2020;ALUNO-145;14.13424658;3;8.345001167;10;7.333333333;9.1;7.91667;7.5;7.5;8.8333375;1
2020;ALUNO-146;12.85205479;2;6.385835333;10;0;7.2;10.00002;7.5;7.291666667;7.333333333;0
2020;ALUNO-147;13.40273973;1;5.934724;5;0;8;9.00002;7.5;7.291666667;7.277776667;0
2020;ALUNO-149;10.85479452;2;7.131667;10;3;8.7;7.5;5.625;8.125;8.333335;0
2020;ALUNO-151;13.52054795;3;8.238891333;5;7.5;9.5;9.50002;7.5;9.166666667;8.611113333;0
2020;ALUNO-152;13.37534247;3;7.963542167;10;6.333333333;9;6.24999;7.5;7.96875;8.6250075;0
2020;ALUNO-153;12.81917808;3;8.167711833;10;4.666666667;9;10.00002;7.5;8.59375;9.1250075;1
2020;ALUNO-154;12.2739726;1;5.884585;5;0;7.1;8.50002;7.5;7.8125;7.916665;0
2020;ALUNO-156;13.70684932;2;7.110556667;5;5;8.9;7.91668;7.5;6.666666667;8.11111;0
2020;ALUNO-157;13.44109589;2;7.177224;5;6.75;6.4;9.50002;7.5;7.916666667;7.777776667;0
2020;ALUNO-158;11.06027397;1;6.064722;5;5;5.9;9.16668;3.75;7.708333333;6.611103333;0
2020;ALUNO-160;13.57808219;1;4.478057333;5;0;2.3;8.00002;5;7.291666667;7.444443333;0
2020;ALUNO-162;13.30684932;3;7.953752;5;8.5;8.8;8.50002;7.5;8.4375;7.75;0
2020;ALUNO-163;10.90136986;2;6.440002;5;6.25;8.2;7.50002;5;2.5;7.75;0
2020;ALUNO-164;13.1369863;3;7.708752;5;7.5;8.7;9.50002;7.5;7.1875;7.75;0
2020;ALUNO-165;13.52328767;3;8.431252;5;10;10;9.00002;7.5;7.8125;7.5;0
2020;ALUNO-168;12.69589041;3;8.082224;5;8.5;8.8;10.00002;7.5;7.5;8.11111;0
2020;ALUNO-169;14.16712329;3;7.800001;10;10;10;9.00002;5;2.5;5.749995;0
2020;ALUNO-173;12.23835616;1;3.738334167;5;2.833333333;0.9;7.91667;3.125;5.625;4.1250025;0
2020;ALUNO-183;10.6630137;3;7.862503;5;10;10;9.00002;8.125;2.5;7.000005;0
2020;ALUNO-184;9.282191781;3;8.257224;10;7.5;8.3;10.00002;7.5;7.916666667;7.777776667;0
2020;ALUNO-186;8.646575342;2;6.314166333;2.5;5.666666667;5.8;8.75001;7.5;8.125;6.66666;0
